"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5802","Login with empty username","OrangeHRM Automation Suite","Sun Aug 10 15:14:35 WIB 2025","passed","Sun Aug 10 15:14:41 WIB 2025","com.example.java.testcases.LoginTest","Login-Section-Test","com.example.java.testcases.LoginTest","testEmptyFieldsPassword"
"","8274","Login with empty username","OrangeHRM Automation Suite","Sun Aug 10 15:14:45 WIB 2025","passed","Sun Aug 10 15:14:53 WIB 2025","com.example.java.testcases.LoginTest","Login-Section-Test","com.example.java.testcases.LoginTest","testEmptyFieldsUsername"
"","9369","Verify login works with valid credentials","OrangeHRM Automation Suite","Sun Aug 10 15:16:09 WIB 2025","passed","Sun Aug 10 15:16:18 WIB 2025","com.example.java.testcases.LoginTest","Login-Section-Test","com.example.java.testcases.LoginTest","testValidLogin"
"","12074","verify that user can log out succesfully","OrangeHRM Automation Suite","Sun Aug 10 15:16:24 WIB 2025","passed","Sun Aug 10 15:16:36 WIB 2025","com.example.java.testcases.LoginTest","Login-Section-Test","com.example.java.testcases.LoginTest","userLogout"
"","14667","Login with empty username and password","OrangeHRM Automation Suite","Sun Aug 10 15:14:16 WIB 2025","passed","Sun Aug 10 15:14:31 WIB 2025","com.example.java.testcases.LoginTest","Login-Section-Test","com.example.java.testcases.LoginTest","testEmptyFields"
"","51005","Login with invalid password","OrangeHRM Automation Suite","Sun Aug 10 15:14:56 WIB 2025","passed","Sun Aug 10 15:15:48 WIB 2025","com.example.java.testcases.LoginTest","Login-Section-Test","com.example.java.testcases.LoginTest","testInvalidPassword"
"","13409","Login with invalid username","OrangeHRM Automation Suite","Sun Aug 10 15:15:52 WIB 2025","passed","Sun Aug 10 15:16:05 WIB 2025","com.example.java.testcases.LoginTest","Login-Section-Test","com.example.java.testcases.LoginTest","testInvalidUsername"
